"Hot Spots - Method","Self time [%]","Self time","Invocations"
"java.util.TreeMap.getFirstEntry()","2.9576744E-4","0.237 ms","963"
"java.lang.AbstractStringBuilder.append(char[], int, int)","2.9451947E-4","0.236 ms","425"
"java.io.ObjectInputStream.defaultReadObject()","2.9451947E-4","0.236 ms","80"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeBlockHeader(int)","2.7954392E-4","0.224 ms","585"
"java.util.AbstractList.<init>()","2.7704798E-4","0.222 ms","602"
"java.util.Collections$UnmodifiableCollection$1.<init>(java.util.Collections.UnmodifiableCollection)","2.733041E-4","0.219 ms","492"
"java.io.ObjectOutputStream.writeNull()","2.7205612E-4","0.218 ms","1421"
"java.io.Bits.putShort(byte[], int, short)","2.7205612E-4","0.218 ms","2176"
"java.io.ObjectInputStream$BlockDataInputStream.read(byte[], int, int)","2.7205612E-4","0.218 ms","101"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState(int, int)","2.7080817E-4","0.217 ms","169"
"java.util.AbstractMap.<init>()","2.658163E-4","0.213 ms","751"
"java.io.ObjectOutputStream$HandleTable.growEntries()","2.6082445E-4","0.209 ms","72"
"java.io.Bits.getLong(byte[], int)","2.5957648E-4","0.208 ms","549"
"java.io.ObjectInputStream$PeekInputStream.read()","2.5957648E-4","0.208 ms","1381"
"java.util.concurrent.ThreadPoolExecutor$Worker.runTask(Runnable)","2.4584887E-4","0.197 ms","15"
"java.lang.Number.<init>()","2.4335296E-4","0.195 ms","1939"
"java.lang.System.getSecurityManager()","2.4335296E-4","0.195 ms","1429"
"java.lang.Long.getChars(long, int, char[])","2.4210499E-4","0.194 ms","81"
"java.util.Arrays.sort(Object[])","2.3960907E-4","0.192 ms","87"
"java.io.ObjectInputStream$HandleTable.assign(Object)","2.383611E-4","0.191 ms","542"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await()","2.3461721E-4","0.188 ms","9"
"java.io.ObjectInputStream.readClassDesc(boolean)","2.3336924E-4","0.187 ms","315"
"java.util.IdentityHashMap$KeySet.iterator()","2.3336924E-4","0.187 ms","2"
"java.util.TreeMap.entrySet()","2.3087332E-4","0.185 ms","471"
"java.io.SerialCallbackContext.checkAndSetUsed()","2.283774E-4","0.183 ms","571"
"java.util.ArrayList.<init>(int)","2.246335E-4","0.18 ms","148"
"java.util.TreeMap$KeySet.iterator()","2.2213758E-4","0.178 ms","492"
"java.util.Collections$UnmodifiableCollection.iterator()","2.2213758E-4","0.178 ms","492"
"java.io.ObjectStreamClass.newInstance()","2.1839367E-4","0.175 ms","97"
"java.util.TreeMap$KeyIterator.<init>(java.util.TreeMap, java.util.TreeMap.Entry)","2.1464979E-4","0.172 ms","492"
"java.io.SerialCallbackContext.getObj()","2.1340183E-4","0.171 ms","571"
"java.io.FilterInputStream.read()","2.109059E-4","0.169 ms","190"
"java.io.ObjectInputStream$HandleTable.finish(int)","2.109059E-4","0.169 ms","543"
"java.io.Bits.getShort(byte[], int)","2.0965793E-4","0.168 ms","908"
"java.util.AbstractCollection.<init>()","2.0840997E-4","0.167 ms","1134"
"java.io.ObjectOutputStream.writeByte(int)","1.9717829E-4","0.158 ms","653"
"java.lang.Thread.start()","1.9593033E-4","0.157 ms","2"
"java.io.ObjectInputStream.readLong()","1.9593033E-4","0.157 ms","465"
"java.io.BufferedOutputStream.flushBuffer()","1.9093847E-4","0.153 ms","281"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeLong(long)","1.8969052E-4","0.152 ms","403"
"java.util.HashMap.put(Object, Object)","1.8844254E-4","0.151 ms","126"
"java.util.TreeMap$EntryIterator.<init>(java.util.TreeMap, java.util.TreeMap.Entry)","1.8469866E-4","0.148 ms","471"
"java.lang.String.lastIndexOf(int)","1.8345068E-4","0.147 ms","324"
"java.io.ObjectOutputStream.writeUTF(String)","1.8095477E-4","0.145 ms","559"
"java.lang.String.<init>(int, int, char[])","1.7845884E-4","0.143 ms","721"
"javax.management.ObjectName.addProperty(javax.management.ObjectName.Property, int, java.util.Map, String)","1.7221902E-4","0.138 ms","114"
"java.io.ObjectOutputStream.writeInt(int)","1.7097105E-4","0.137 ms","585"
"java.io.ObjectStreamField.getTypeCode()","1.7097105E-4","0.137 ms","323"
"java.lang.ClassLoader.findLoadedClass(String)","1.659792E-4","0.133 ms","29"
"java.io.ObjectInputStream.readClassDescriptor()","1.659792E-4","0.133 ms","162"
"java.util.concurrent.locks.ReentrantLock.lock()","1.6348327E-4","0.131 ms","83"
"java.util.IdentityHashMap.keySet()","1.6348327E-4","0.131 ms","1"
"java.util.ArrayList.add(Object)","1.5973937E-4","0.128 ms","215"
"java.util.TreeMap$EntrySet.<init>(java.util.TreeMap)","1.4975567E-4","0.12 ms","399"
"java.lang.String.<init>(char[])","1.4975567E-4","0.12 ms","214"
"java.util.HashMap$ValueIterator.<init>(java.util.HashMap)","1.4725974E-4","0.118 ms","112"
"java.util.Arrays.mergeSort(Object[], Object[], int, int, int)","1.4725974E-4","0.118 ms","87"
"java.lang.String.lastIndexOf(int, int)","1.4601178E-4","0.117 ms","324"
"java.util.ArrayList.toArray(Object[])","1.447638E-4","0.116 ms","115"
"java.util.concurrent.ThreadPoolExecutor$Worker.run()","1.4351585E-4","0.115 ms","15"
"java.util.HashMap.getEntry(Object)","1.4101992E-4","0.113 ms","115"
"java.util.concurrent.ThreadPoolExecutor.getTask()","1.3977196E-4","0.112 ms","10"
"java.io.ObjectOutputStream.writeLong(long)","1.3852399E-4","0.111 ms","403"
"java.io.DataInputStream.readLong()","1.347801E-4","0.108 ms","101"
"java.io.ObjectStreamClass$FieldReflector.<init>(java.io.ObjectStreamField[])","1.347801E-4","0.108 ms","6"
"java.util.HashMap.addEntry(int, Object, Object, int)","1.347801E-4","0.108 ms","126"
"java.lang.AbstractStringBuilder.append(long)","1.347801E-4","0.108 ms","81"
"java.util.Arrays.fill(int[], int)","1.3228417E-4","0.106 ms","153"
"java.lang.Integer.<init>(int)","1.2978824E-4","0.104 ms","365"
"java.rmi.server.ObjID.equals(Object)","1.2978824E-4","0.104 ms","202"
"java.io.ObjectStreamClass.setPrimFieldValues(Object, byte[])","1.2854028E-4","0.103 ms","107"
"java.util.concurrent.LinkedBlockingQueue.take()","1.2854028E-4","0.103 ms","9"
"java.util.Arrays.fill(int[], int, int, int)","1.2729231E-4","0.102 ms","153"
"java.io.ObjectStreamField.<init>(String, String, boolean)","1.2729231E-4","0.102 ms","36"
"java.util.Collections.reverse(java.util.List)","1.247964E-4","0.1 ms","103"
"java.io.ObjectStreamClass.<init>()","1.247964E-4","0.1 ms","324"
"java.util.HashMap.indexFor(int, int)","1.2354842E-4","0.099 ms","1063"
"java.io.ObjectStreamClass.computeFieldOffsets()","1.2354842E-4","0.099 ms","169"
"java.io.ObjectInputStream$BlockDataInputStream.currentBlockRemaining()","1.2230047E-4","0.098 ms","494"
