"Hot Spots - Method","Self time [%]","Self time","Invocations"
"java.util.HashMap.put(Object, Object)","1.6689723E-4","0.621 ms","606"
"java.io.ObjectOutputStream.writeLong(long)","1.6071585E-4","0.598 ms","2121"
"java.rmi.server.ObjID.equals(Object)","1.5829704E-4","0.589 ms","1044"
"java.lang.String.<init>(char[])","1.5775954E-4","0.587 ms","1271"
"java.lang.Long.getChars(long, int, char[])","1.5641576E-4","0.582 ms","383"
"java.util.Arrays.fill(int[], int, int, int)","1.556095E-4","0.579 ms","1229"
"java.util.HashMap.getEntry(Object)","1.5345945E-4","0.571 ms","606"
"java.util.AbstractCollection.<init>()","1.507719E-4","0.561 ms","6031"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeLong(long)","1.4808433E-4","0.551 ms","2121"
"java.io.ObjectInputStream.readClassDescriptor()","1.4754683E-4","0.549 ms","812"
"java.lang.String.hashCode()","1.4432176E-4","0.537 ms","5284"
"java.util.Arrays.fill(int[], int)","1.4217172E-4","0.529 ms","1229"
"java.util.TreeMap$EntrySet.<init>(java.util.TreeMap)","1.4136545E-4","0.526 ms","2367"
"java.lang.String.charAt(int)","1.3625908E-4","0.507 ms","5701"
"java.util.HashMap.addEntry(int, Object, Object, int)","1.3625908E-4","0.507 ms","606"
"java.lang.Math.min(long, long)","1.3276527E-4","0.494 ms","2144"
"java.io.ObjectStreamField.getTypeCode()","1.3061523E-4","0.486 ms","1431"
"java.io.ObjectStreamClass.invokeReadObject(Object, java.io.ObjectInputStream)","1.2631514E-4","0.47 ms","419"
"java.util.ArrayList.add(Object)","1.2389633E-4","0.461 ms","860"
"java.io.DataInputStream.readFully(byte[], int, int)","1.2255255E-4","0.456 ms","525"
"java.lang.String.substring(int)","1.2255255E-4","0.456 ms","1660"
"java.lang.Long.equals(Object)","1.2120877E-4","0.451 ms","522"
"java.io.Bits.putBoolean(byte[], int, boolean)","1.2040251E-4","0.448 ms","2909"
"java.util.Collections.reverse(java.util.List)","1.1690869E-4","0.435 ms","503"
"java.io.Bits.getShort(byte[], int)","1.1556491E-4","0.43 ms","4606"
"java.io.ObjectStreamClass.setPrimFieldValues(Object, byte[])","1.1556491E-4","0.43 ms","546"
"java.lang.String.<init>(int, int, char[])","1.1422113E-4","0.425 ms","3514"
"java.io.ObjectStreamField.isPrimitive()","1.1341486E-4","0.422 ms","1815"
"java.io.ObjectInputStream$HandleTable.lookupException(int)","1.1207109E-4","0.417 ms","3896"
"java.io.ByteArrayInputStream.read(byte[], int, int)","1.1180233E-4","0.416 ms","1008"
"java.io.ObjectInputStream$BlockDataInputStream.read(byte[], int, int)","1.10189794E-4","0.41 ms","522"
"java.io.ObjectOutputStream.writeShort(int)","1.0884602E-4","0.405 ms","2121"
"java.util.Arrays.mergeSort(Object[], Object[], int, int, int)","1.0884602E-4","0.405 ms","420"
"java.lang.String.toCharArray()","1.0750224E-4","0.4 ms","425"
"java.io.ObjectInputStream.readShort()","1.0696473E-4","0.398 ms","1334"
"java.io.ObjectInputStream$HandleTable.finish(int)","1.0562095E-4","0.393 ms","2747"
"java.util.Arrays.rangeCheck(int, int, int)","1.0454593E-4","0.389 ms","2422"
"java.io.ObjectInputStream$BlockDataInputStream.currentBlockRemaining()","1.03470906E-4","0.385 ms","2552"
"java.util.HashMap$ValueIterator.<init>(java.util.HashMap)","1.0158962E-4","0.378 ms","566"
"java.io.ObjectStreamClass.computeFieldOffsets()","9.9708326E-5","0.371 ms","812"
"java.net.PlainSocketImpl.acquireFD()","9.809579E-5","0.365 ms","1878"
"javax.management.openmbean.SimpleType.equals(Object)","9.782704E-5","0.364 ms","986"
"java.lang.String.valueOf(char[])","9.755828E-5","0.363 ms","1187"
"java.io.ObjectStreamField.<init>(String, String, boolean)","9.755828E-5","0.363 ms","168"
"java.util.Arrays.fill(Object[], int, int, Object)","9.594575E-5","0.357 ms","1130"
"java.lang.ClassLoader.findLoadedClass(String)","9.487073E-5","0.353 ms","128"
